s	pop	prob_EUR	prob_EAS	prob_AMR	prob_CSA	prob_AFR	prob_OCE	prob_MID	true_pop
HG03452	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03517	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03538	AFR	0.00047386333359433877	0.0006326451399206837	0.001266265648927887	0.0004074607818978658	0.9964404042494461	0.00035794807508799157	0.00042141277112511653	AFR
HG03557	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03585	CSA	0.0006085329601363289	0.0024020360761594114	0.00069263181493249	0.9947433514060636	0.0006219516720947306	0.00043678129278236906	0.0004947147778310074	CSA
HG03604	CSA	0.0005960251933721987	0.002353847606716589	0.0006780892148326496	0.9948555519724102	0.0006091667772243029	0.00042275399536032736	0.000484565240084033	CSA
HG03611	CSA	0.0005960251933954585	0.0023538476067542667	0.0006780892148905554	0.9948555519722371	0.0006091667772442676	0.00042275399537620154	0.00048456524010243436	CSA
HG03619	CSA	0.0005960246815905419	0.002353845086410196	0.0006780882182408758	0.9948555577026456	0.0006091659738559938	0.00042275358306636857	0.00048456475419047346	CSA
HG03653	CSA	0.000596025193371866	0.002353847606716047	0.000678089214831826	0.9948555519724124	0.0006091667772240159	0.0004227539953601	0.0004845652400837698	CSA
HG03660	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG03668	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG03691	CSA	0.0005960251933732473	0.0023538476067182863	0.0006780892148352626	0.994855551972402	0.0006091667772252026	0.000422753995361043	0.0004845652400848632	CSA
HG03713	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG03718	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318218	0.9948555519724124	0.0006091667772240175	0.0004227539953601004	0.0004845652400837698	CSA
HG03722	CSA	0.0005960251933721669	0.002353847606716537	0.0006780892148325725	0.9948555519724102	0.0006091667772242754	0.00042275399536030557	0.0004845652400840081	CSA
HG03742	CSA	0.0006352228309331773	0.002564263159499962	0.0007386893339155315	0.9944359848749806	0.0006510287782587244	0.0004570289962322139	0.0005177820261798329	CSA
HG03792	CSA	0.0005960251933719039	0.002353847606716111	0.0006780892148319161	0.9948555519724122	0.0006091667772240493	0.0004227539953601262	0.00048456524008379985	CSA
HG03814	CSA	0.0005960251933738382	0.0023538476067192443	0.0006780892148367324	0.994855551972398	0.0006091667772257096	0.0004227539953614463	0.0004845652400853302	CSA
HG03817	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318218	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG03823	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318218	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG03836	CSA	0.0005960251933718918	0.002353847606716092	0.0006780892148318853	0.9948555519724122	0.000609166777224039	0.00042275399536011757	0.00048456524008379037	CSA
HG03856	CSA	0.0009891845084532308	0.004136529284243849	0.001359023646451335	0.9909068196594658	0.001102228046043806	0.0006996703377008569	0.0008065445176409654	CSA
HG03864	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318218	0.9948555519724124	0.0006091667772240175	0.0004227539953601004	0.0004845652400837698	CSA
HG03885	CSA	0.000596025193372896	0.0023538476067177182	0.0006780892148343841	0.9948555519724049	0.0006091667772249014	0.0004227539953608031	0.00048456524008458476	CSA
HG03887	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
